grade,gender,interest,favor,chinese,patience,extras,study_hours,work_hours,club_hours,sleep_hours,commute_hours,score
1,1,5.0,5.0,5.0,5.0,0.0,0,0,0,3~5,0~1,71.0
1,1,3.0,3.0,2.0,3.0,0.0,2~3,2~3,0,8,0~1,47.0
1,1,5.0,5.0,2.0,5.0,4.0,0~1,4~5,0,5~6,1~2,80.0
1,0,4.0,5.0,2.0,2.0,0.0,2~3,0,0,3~5,0~1,86.0
1,0,3.0,3.0,3.0,4.0,0.0,2~3,0,0,5~6,1~2,55.0
1,1,5.0,5.0,3.0,4.0,3.0,1~2,0~1,0,6~8,0~1,95.0
1,0,4.0,5.0,3.0,4.0,4.0,2~3,3~4,4~5,5~6,1~2,100.0
1,1,4.0,5.0,3.0,2.0,0.0,0~1,0,1~2,6~8,1~2,60.0
1,1,4.0,1.0,2.0,5.0,3.0,4~5,4~5,0~1,6~8,0~1,85.0
1,1,2.0,3.0,1.0,2.0,0.0,0~1,0~1,0,6~8,0~1,81.4
1,1,3.0,3.0,5.0,5.0,3.0,5,5,0,6~8,0~1,79.0
1,1,4.0,5.0,3.0,3.0,3.5,1~2,1~2,0~1,5~6,1~2,87.0
1,1,5.0,5.0,1.0,4.0,3.0,5,5,0,5~6,0~1,86.0
1,1,5.0,5.0,4.0,3.0,3.0,2~3,1~2,0,5~6,0~1,92.0
1,1,3.0,5.0,2.0,3.0,3.0,0~1,2~3,0,5~6,0~1,72.0
1,1,4.0,4.0,2.0,3.0,4.0,1~2,0~1,0,5~6,0~1,83.0
1,0,3.0,3.0,5.0,4.0,3.5,2~3,3~4,0,5~6,2~3,67.0
1,0,3.0,3.0,2.0,2.0,0.0,0~1,0,0~1,5~6,1~2,77.0
1,1,4.0,5.0,3.0,4.0,3.0,3~4,4~5,1~2,5~6,0~1,82.0
1,1,5.0,4.0,3.0,4.0,0.0,1~2,0~1,5,5~6,0~1,91.0
1,1,4.0,4.0,1.0,4.0,0.0,0,0,0,8,0~1,80.0
1,1,3.0,3.0,3.0,3.0,3.0,0~1,3~4,1~2,3~5,0~1,60.0
1,1,3.0,4.0,5.0,3.0,2.0,0~1,1~2,0,3~5,0~1,60.0
1,0,3.0,5.0,2.0,2.0,4.0,0~1,3~4,0,6~8,0~1,78.0
1,1,5.0,5.0,5.0,5.0,3.0,1~2,1~2,0,8,0~1,88.0
1,1,5.0,5.0,1.0,3.0,0.0,2~3,0~1,0,6~8,0~1,75.0
1,1,3.0,4.0,3.0,2.0,2.5,0~1,0~1,0,5~6,0~1,63.0
0,1,1.0,3.0,3.0,1.0,3.0,0~1,0~1,0,5~6,0~1,83.0
0,1,1.0,4.0,3.0,2.0,0.0,0,0,0,5~6,0~1,46.0
0,1,1.0,5.0,3.0,1.0,0.0,0~1,0,0,6~8,0~1,35.0
0,1,4.0,3.0,1.0,1.0,3.0,1~2,2~3,0~1,5~6,1~2,93.0
0,0,3.0,4.0,1.0,4.0,2.5,0~1,1~2,0,5~6,0~1,94.0
0,0,4.0,5.0,2.0,3.0,0.0,0~1,0,0~1,5~6,0~1,88.0
0,0,1.0,5.0,4.0,1.0,1.0,0~1,0~1,0~1,3~5,1~2,69.0
0,0,3.0,3.0,2.0,2.0,3.0,1~2,1~2,0~1,5~6,0~1,75.0
0,0,4.0,5.0,2.0,2.0,0.0,0~1,0,1~2,5~6,0~1,82.0
