時間戳記,目前幾年級,生理性別,數學成績,對數學的喜好程度,對數學老師的喜好程度,自認國文「閱讀理解」程度,有無耐心閱讀數學題目,平均每週額外補數學的時間（家教或去補習班）,"平均每週花多少時間做以下事項
（e.g.剛好2小時請選「2~3 小時」） [讀數學（含練習題目、整理筆記）]","平均每週花多少時間做以下事項
（e.g.剛好2小時請選「2~3 小時」） [練習課外數學題（補習、家教作業皆算）]","平均每週花多少時間做以下事項
（e.g.剛好2小時請選「2~3 小時」） [社團活動（處理社團相關事務）]","平均每日睡眠時間
（e.g.剛好3小時請選「3~5小時」）","平均每日通勤時長：上學＋放學
（若有補習也要加上補習的通勤）","想參加抽獎請留下班級座號
（e.g. 二年9班3號請留20903，無法識別會取消資格ㄛ～）"
2023/10/30 上午 11:15:22,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理男,71,5,5,5,5,0小時,0小時,0小時,0小時,3~5小時,0~1小時,20926
2023/10/30 上午 11:15:28,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理男,47,3,3,2,3,0小時,2~3小時,2~3小時,0小時,8小時以上 🤔（？！）,0~1小時,
2023/10/30 上午 11:16:13,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理男,80,5,5,2,5,4小時,0~1小時,4~5小時,0小時,5~6小時,1~2小時,
2023/10/30 上午 11:16:19,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理女,86,4,5,2,2,0小時,2~3小時,0小時,0小時,3~5小時,0~1小時,21103
2023/10/30 上午 11:16:28,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理女,55,3,3,3,4,0小時,2~3小時,0小時,0小時,5~6小時,1~2小時,21101
2023/10/30 上午 11:16:37,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理男,95,5,5,3,4,3小時,1~2小時,0~1小時,0小時,6~8小時,0~1小時,21012
2023/10/30 上午 11:16:45,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理女,100,4,5,3,4,4小時,2~3小時,3~4小時,4~5小時,5~6小時,1~2小時,21203林子馨
2023/10/30 上午 11:17:03,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理男,60,4,5,3,2,0小時,0~1小時,0小時,1~2小時,6~8小時,1~2小時,20931
2023/10/30 上午 11:17:04,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理男,85,4,1,2,5,3小時,4~5小時,4~5小時,0~1小時,6~8小時,0~1小時,20918
2023/10/30 上午 11:17:08,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理男,81.4,2,3,1,2,0小時,0~1小時,0~1小時,0小時,6~8小時,0~1小時,20927
2023/10/30 上午 11:17:19,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理男,79,3,3,5,5,3小時,5小時以上,5小時以上,0小時,6~8小時,0~1小時,20936
2023/10/30 上午 11:17:22,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理男,87,4,5,3,3,3.5小時,1~2小時,1~2小時,0~1小時,5~6小時,1~2小時,20911
2023/10/30 上午 11:17:40,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理男,86,5,5,1,4,3小時,5小時以上,5小時以上,0小時,5~6小時,0~1小時,20930
2023/10/30 上午 11:17:54,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理男,92,5,5,4,3,3小時,2~3小時,1~2小時,0小時,5~6小時,0~1小時,20912
2023/10/30 上午 11:18:08,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理男,72,3,5,2,3,3小時,0~1小時,2~3小時,0小時,5~6小時,0~1小時,21209
2023/10/30 上午 11:18:26,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理男,83,4,4,2,3,4小時,1~2小時,0~1小時,0小時,5~6小時,0~1小時,21008
2023/10/30 上午 11:18:31,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理女,67,3,3,5,4,3.5小時,2~3小時,3~4小時,0小時,5~6小時,2~3小時,21106
2023/10/30 上午 11:19:06,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理女,77,3,3,2,2,0小時,0~1小時,0小時,0~1小時,5~6小時,1~2小時,21201
2023/10/30 上午 11:19:23,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理男,82,4,5,3,4,3小時,3~4小時,4~5小時,1~2小時,5~6小時,0~1小時,20916
2023/10/30 上午 11:19:37,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理男,91,5,4,3,4,0小時,1~2小時,0~1小時,5小時以上,5~6小時,0~1小時,21125
2023/10/30 上午 11:19:37,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理男,80,4,4,1,4,0小時,0小時,0小時,0小時,8小時以上 🤔（？！）,0~1小時,21126
2023/10/30 上午 11:19:50,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理男,60,3,3,3,3,3小時,0~1小時,3~4小時,1~2小時,3~5小時,0~1小時,20919
2023/10/30 上午 11:19:52,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理男,60,3,4,5,3,2小時,0~1小時,1~2小時,0小時,3~5小時,0~1小時,21234
2023/10/30 上午 11:20:04,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理女,78,3,5,2,2,4小時,0~1小時,3~4小時,0小時,6~8小時,0~1小時,21202
2023/10/30 上午 11:21:04,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理男,88,5,5,5,5,3小時,1~2小時,1~2小時,0小時,8小時以上 🤔（？！）,0~1小時,20921
2023/10/30 上午 11:21:07,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理男,75,5,5,1,3,0小時,2~3小時,0~1小時,0小時,6~8小時,0~1小時,21129
2023/10/30 上午 11:24:23,"高二 / 高三（請以 ""最近一學期"" 的成績及狀況回答表單）",生理男,63,3,4,3,2,2.5小時,0~1小時,0~1小時,0小時,5~6小時,0~1小時,21121
,,,,,,,,,,,,,,
2023/10/30 下午 1:20:31,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,83,1,3,3,1,3小時,0~1小時,0~1小時,0小時,5~6小時,0~1小時,
2023/10/30 下午 1:20:37,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,46,1,4,3,2,0小時,0小時,0小時,0小時,5~6小時,0~1小時,11335
2023/10/30 下午 1:20:58,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,35,1,5,3,1,0小時,0~1小時,0小時,0小時,6~8小時,0~1小時,11330
2023/10/30 下午 1:21:07,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,93,4,3,1,1,3小時,1~2小時,2~3小時,0~1小時,5~6小時,1~2小時,11334
